,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12
World,"1,550,554.34","1,426,311.41","1,622,027.70","1,591,822.09","1,603,795.35","1,579,664.98","1,643,927.18","1,498,253.47","1,617,443.92","1,630,219.39","1,517,869.18","1,506,036.91","1,352,262.89","1,277,926.29","1,396,142.35","1,359,783.95","1,361,743.85","1,442,987.73","1,413,925.41","1,282,651.80","1,395,988.91","1,405,218.71","1,336,400.13","1,359,967.46","1,179,006.36","1,178,981.03","1,326,736.06","1,308,291.90","1,311,682.24","1,378,106.38","1,295,972.45","1,312,244.96","1,377,414.88","1,348,125.90","1,403,918.82","1,407,351.12","1,308,407.91","1,263,775.06","1,519,261.62","1,344,464.86","1,472,995.67","1,485,791.95","1,433,663.56","1,455,347.93","1,540,416.43","1,531,652.39","1,607,957.71","1,570,937.24","1,551,744.00","1,474,301.24","1,664,956.67","1,596,410.11","1,639,889.79","1,652,997.83","1,625,302.21","1,594,407.40","1,622,287.52","1,727,250.01","1,675,002.91","1,538,420.16"
Advanced Economies,"971,477.62","898,194.08","1,011,315.28","982,774.48","988,876.71","979,685.04","1,020,903.77","913,199.68","1,004,262.51","1,013,446.48","936,603.27","922,081.24","847,651.93","808,358.53","875,813.54","845,646.68","844,145.42","901,341.95","874,298.32","788,729.39","881,607.23","887,516.09","841,746.84","846,826.32","753,036.31","762,772.30","845,221.90","829,774.23","826,957.60","875,826.83","817,139.27","816,924.20","877,144.90","846,763.03","879,040.30","861,792.67","823,145.81","796,420.52","946,856.28","828,791.84","911,526.26","928,186.38","886,914.37","894,552.64","962,041.84","953,262.26","997,951.52","954,403.98","974,259.15","928,579.54","1,036,310.61","986,221.11","1,004,823.94","1,025,859.08","996,880.28","966,970.08","1,007,499.28","1,067,967.89","1,036,343.90","929,227.56"
Emerging & Dev. Countries,"566,146.22","515,826.13","597,360.81","596,170.04","601,578.12","585,907.31","608,743.74","572,802.20","600,614.78","605,084.34","571,139.13","574,123.36","495,731.42","460,994.38","511,067.81","504,358.15","507,026.41","531,407.36","529,137.78","484,205.71","505,462.74","508,423.40","486,129.23","503,794.76","418,567.07","409,232.11","472,690.00","470,213.89","476,112.59","492,027.16","468,337.64","486,433.34","490,645.59","492,619.67","515,256.54","534,397.28","475,930.96","458,025.81","560,752.64","506,199.70","550,362.76","546,244.04","536,208.29","550,004.40","566,207.67","567,469.44","598,201.47","604,229.54","566,271.07","535,285.09","615,381.31","592,335.88","616,055.62","609,341.92","609,287.17","609,843.90","595,632.50","639,449.71","619,331.23","588,750.68"
Other Countries,"1,183.62",851.02,"1,099.69","1,153.59","1,120.71","1,114.31","1,135.12","1,183.25","1,087.31","1,170.07","1,029.35","1,229.58",850.25,776.64,934.81,"1,005.62","1,020.63","1,058.71","1,130.11",948.41,"1,097.21","1,045.75","1,056.28","1,060.07",810.55,790.67,891.47,962.26,847.50,993.88,889.65,964.31,986.24,"1,033.03","1,059.14","1,019.42",922.81,713.43,"1,011.40",899.36,999.18,"1,020.97",931.50,"1,019.02",893.34,976.23,996.38,981.14,791.76,664.82,771.09,814.82,864.34,925.35,880.50,885.36,834.92,987.88,"1,085.50",916.00
